"miembros","MOVILIDAD","DECOMISO","SECUESTRO","GENERO","EDADES","FALLECIDOS","OCUPA","TIENE_OS","COND_OCUP","CANT_BANCOS","MONTO_BANCOS","CALIF_BCRA","CompromisosMensuales","NSE_AGRUP"
"3",NA,"Mamifero(s), Ave(s), y Otro(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"4","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",103,"1",164,"$143.108/$229.816"
"1","Camion(es)/Maquin(as)","Madera(s)",NA,"Masculino","63 + años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86","1",31,"1",81,"$51.235/$73.333"
"3","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","63 + años",NA,"Servicios varios","No",NA,"1",53,"1",115,"$23.153/$36.166"
"2","Automoviles","Mamifero(s)","Arma(s) de fuego","Femenino","63 + años",NA,"Servicios varios","No",NA,"1",18,"1",50,"$51.235/$73.333"
"1",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,NA,"No",NA,"1",1,"1",1,"$36.167/$51.234"
"1",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$143.108/$229.816"
"3","Camioneta(s)",NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,"Forestal","No",NA,"2",110,"1",166,">=$229.817"
"1",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Servicios varios","Si","Pequeños Contribuyentes Monotributistas Ley 25 86","1",11,"1",30,"$73.334$143.107"
"2",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,"1",72,"1",146,"$143.108/$229.816"
"1","Camioneta(s)","Mamifero(s)",NA,"Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Reparación/Mant.","Si","Pequeños Contribuyentes Monotributistas Ley 25 86","1",13,"1",108,"$73.334$143.107"
"3",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"1",NA,"Madera(s)",NA,"Masculino","63 + años",NA,"Servicios varios","No",NA,"1",37,"1",47,"$23.153/$36.166"
"2","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",76,"1",119,"$51.235/$73.333"
"4",NA,"Peces","Equip.de pesca","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,"1",68,"1",130,"$51.235/$73.333"
"2",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"4","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Comercio","No",NA,"1",23,"11",63,"$51.235/$73.333"
"3",NA,"Mamifero(s), Ave(s), y Otro(s)","Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,"1",77,"1",139,"$23.153/$36.166"
"2",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"4",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,"1",19,"1",54,"$51.235/$73.333"
"3",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,"1",44,"1",105,"$51.235/$73.333"
"1","Automoviles","Mamifero(s), Ave(s), y Otro(s)",NA,"Masculino","49 - 62 años",NA,"Construcción","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",58,"1",140,"$73.334$143.107"
"2",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"2","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",93,"1",151,"$73.334$143.107"
"2",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,"1",83,"1",144,"$23.153/$36.166"
"1","Lancha(s)",NA,NA,"Masculino","49 - 62 años",NA,"Agropecuario","No",NA,"1",8,"1",57,"$73.334$143.107"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,"2",106,"1",159,"$143.108/$229.816"
"2","Lancha(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$73.334$143.107"
"1",NA,"Peces","Equip.de pesca","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",102,"1",158,"$143.108/$229.816"
"1",NA,"Ornamentales(s) y Otro(s)",NA,"Masculino","35 - 48 años",NA,"Transporte","Si","Relacion de Dependencia","5",108,"1",162,"$51.235/$73.333"
"1","Caballo(s)/Bicicleta(s)","Mamifero(s), Ave(s), y Otro(s)","Arma(s) de fuego y Otros","Masculino","63 + años",NA,"Agropecuario","No",NA,"1",72,"1",85,"$23.153/$36.166"
"2","Lancha(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,"1",66,"11",129,"$51.235/$73.333"
